Number of combinations considered: 1330
3 Descriptors | Sum of Descriptor Correlation | R2 | MAE
['bulk_metal_oxidation_state', 'atomic_radius', 'c6', 2.45, 0.79375, 0.312]
['magmom', 'bulk_metal_oxidation_state', 'c6', 1.34, 0.79374, 0.313]
['d_MM', '4th', '5th', 0.28, 0.79366, 0.319]
['n_d_el_active', 'active_site_oxidation_state', '2nd', 0.82, 0.79365, 0.294]
['Z_val_atom', 'active_site_oxidation_state', '2nd', 0.8, 0.79365, 0.294]
['Z_val_atom', 'n_d_el_active', '2nd', 2.37, 0.79365, 0.294]
['Z_val_bulk', 'bulk_metal_oxidation_state', '3rd', 1.41, 0.79358, 0.314]
['Z_val_atom', 'bulk_metal_oxidation_state', '3rd', 2.23, 0.79358, 0.314]
['Z_val_atom', 'Z_val_bulk', '3rd', 1.54, 0.79358, 0.314]
['n_d_el_active', 'active_site_oxidation_state', '1st', 0.74, 0.79315, 0.289]
['Z_val_atom', 'active_site_oxidation_state', '1st', 0.73, 0.79315, 0.289]
['Z_val_atom', 'n_d_el_active', '1st', 2.23, 0.79315, 0.289]
['d_MM', 'n_d_el_active', 'c6', 0.95, 0.79272, 0.304]
['active_site_oxidation_state', '4th', '5th', 0.13, 0.7927, 0.32]
['active_site_oxidation_state', 'en_pauling', '4th', 0.56, 0.79258, 0.323]
['q_O', 'n_d_el_adjacent', 'bulk_metal_oxidation_state', 0.97, 0.79257, 0.316]
['q_O', 'active_site_oxidation_state', '4th', 0.35, 0.79241, 0.321]
['active_site_oxidation_state', 'adjacent_site_oxidation_state', '4th', 0.76, 0.79237, 0.319]
['bandgap', 'd_MM', '4th', 0.48, 0.79232, 0.314]
['magmom', 'd_MM', 'c6', 1.37, 0.79222, 0.304]
['d_MO', 'n_d_el_active', 'active_site_oxidation_state', 1.1, 0.79207, 0.294]
['Z_val_atom', 'd_MO', 'active_site_oxidation_state', 1.09, 0.79207, 0.294]
['Z_val_atom', 'd_MO', 'n_d_el_active', 1.16, 0.79207, 0.294]
['q_O', 'd_MM', '4th', 0.27, 0.79191, 0.318]
['n_d_el_adjacent', 'active_site_oxidation_state', 'adjacent_site_oxidation_state', 0.99, 0.79183, 0.295]
['n_d_el_active', 'active_site_oxidation_state', 'adjacent_site_oxidation_state', 0.98, 0.79183, 0.295]
['n_d_el_active', 'n_d_el_adjacent', 'adjacent_site_oxidation_state', 1.22, 0.79183, 0.295]
['n_d_el_active', 'n_d_el_adjacent', 'active_site_oxidation_state', 1.17, 0.79183, 0.295]
['Z_val_atom', 'active_site_oxidation_state', 'adjacent_site_oxidation_state', 0.98, 0.79183, 0.295]
['Z_val_atom', 'n_d_el_adjacent', 'active_site_oxidation_state', 1.17, 0.79183, 0.295]
['Z_val_atom', 'n_d_el_active', 'adjacent_site_oxidation_state', 1.22, 0.79183, 0.295]
['Z_val_atom', 'n_d_el_active', 'n_d_el_adjacent', 2.92, 0.79183, 0.295]
['bandgap', 'n_d_el_active', 'active_site_oxidation_state', 0.22, 0.79182, 0.299]
['Z_val_atom', 'bandgap', 'active_site_oxidation_state', 0.2, 0.79182, 0.299]
['Z_val_atom', 'bandgap', 'n_d_el_active', 0.98, 0.79182, 0.299]
['d_MM', 'bulk_metal_oxidation_state', '4th', 1.2, 0.79176, 0.322]
['n_d_el_active', 'active_site_oxidation_state', 'bulk_metal_oxidation_state', 0.96, 0.79171, 0.298]
['Z_val_bulk', 'active_site_oxidation_state', 'bulk_metal_oxidation_state', 0.6, 0.79171, 0.298]
['Z_val_bulk', 'n_d_el_active', 'bulk_metal_oxidation_state', 1.77, 0.79171, 0.298]
['Z_val_bulk', 'n_d_el_active', 'active_site_oxidation_state', 0.93, 0.79171, 0.298]
['Z_val_atom', 'active_site_oxidation_state', 'bulk_metal_oxidation_state', 0.95, 0.79171, 0.298]
['Z_val_atom', 'n_d_el_active', 'bulk_metal_oxidation_state', 2.66, 0.79171, 0.298]
